region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region II,Tuguegarao City,Tuguegarao West Educational Zone,401787,Maila Rosario College,"Diversion Road, San Gabriel Village, Tuguegarao City",CAGAYAN,TUGUEGARAO CITY(Capital),3rd District,SAN GABRIEL,Private,Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,3,7,10
Region II,Tuguegarao City,Tuguegarao West Educational Zone,407148,Tuguegarao Training and Assessment Center Inc.,50 Quirino Street,CAGAYAN,TUGUEGARAO CITY(Capital),3rd District,UGAC NORTE,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,0,0,0,0,0,28,19,47
Region II,Tuguegarao City,Tuguegarao Northeast Educational Zone,401785,"AMA Computer College Tuguegarao Cagayan, Inc.",Caggay Highway,CAGAYAN,TUGUEGARAO CITY(Capital),3rd District,CAGGAY,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,3,2,3,1,1,0,0,1,5,0,0,0,0,0,7,24,31
Region II,Cauayan City,Cauayan East District,401768,"STI College Cauayan, Inc.","Piedad Bldg., National Highway, Cabaruan, Cauayan City, Isabela",ISABELA,CITY OF CAUAYAN,3rd District,CABARUAN,Private,Non-Sectarian ,School with no Annexes,Purely SHS,3,16,19,24,0,0,0,0,0,0,7,16,0,0,0,0,1,1,5,9,0,0,0,0,0,0,7,2,0,0,0,0,0,42,68,110
Region II,Cauayan City,Cauayan East District,404153,"East Asia International Systems College, Inc.",Roxas Street,ISABELA,CITY OF CAUAYAN,3rd District,DISTRICT II (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,20,29,49
Region II,Cauayan City,Cauayan North District,306055,Cauayan City Stand-Alone Senior High School,"P. Albano St., Turayong",ISABELA,CITY OF CAUAYAN,3rd District,TURAYONG,Public,DepED Managed,School with no Annexes,Purely SHS,38,149,309,289,132,248,0,0,0,0,252,157,31,13,10,16,42,137,366,313,149,271,0,0,0,0,233,98,7,1,14,15,0,1583,1707,3290
Region II,Cauayan City,Cauayan North District,400355,Isabela College of Arts and Technology Inc.,"Tagaran, Cauayan City, Isabela",ISABELA,CITY OF CAUAYAN,3rd District,TAGARAN,Private,Non-Sectarian ,Mother school,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,17,5,22
Region II,Santiago City,Santiago East,401777,"AMA Computer College-Santiago City, Inc.","3rd/4th Floor Heritage Bldg., Maharlika Highway Malvar, Santiago City, Isabela",ISABELA,CITY OF SANTIAGO,4th District,MALVAR,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,3,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,2,1,0,0,0,0,0,8,19,27
Region II,Santiago City,Santiago East,401782,Cagayan Valley Computer and Information Technology College (CVCITC),"#28 Carreon St., Centro East, Santiago City",ISABELA,CITY OF SANTIAGO,4th District,CENTRO EAST (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,13,28,45,38,43,63,0,0,0,0,21,17,0,0,0,0,9,35,13,9,15,35,0,0,0,0,15,13,0,0,0,0,0,174,238,412
Region II,Santiago City,Santiago East,401783,Patria Sable Corpus College,"#08, Guzman St., Calao West, Santiago City, Isabela",ISABELA,CITY OF SANTIAGO,4th District,CALAO WEST (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,3,26,20,21,11,36,0,0,0,0,0,0,0,0,0,0,8,31,21,21,29,27,0,0,0,0,0,0,0,0,0,0,0,92,162,254
